"src_classLabels","mean_kDN","counts","sd_kDN","median_kDN","perm_id","model","group_sampling_id"
"archaea",55.9096,10000,6.93224591624852,56,1,"null",-1
"bact",54.0319,10000,12.2321071297828,53,1,"null",-1
"euk",57.2811,10000,26.8230876409309,53,1,"null",-1
"viruses",54.4194,10000,6.46489621945417,54,1,"null",-1
"archaea",55.8695,10000,6.89729128083636,56,2,"null",-1
"bact",54.0376,10000,12.2797827972059,53,2,"null",-1
"euk",57.2696,10000,26.6784911497821,53,2,"null",-1
"viruses",54.3671,10000,6.42000461338803,54,2,"null",-1
"archaea",55.8709,10000,7.02137900745406,56,3,"null",-1
"bact",53.9855,10000,12.3170556845406,53,3,"null",-1
"euk",57.2911,10000,26.65592269293,53,3,"null",-1
"viruses",54.4273,10000,6.41668388602784,54,3,"null",-1
"archaea",55.9126,10000,7.05154831745251,56,4,"null",-1
"bact",53.9663,10000,12.1602447123874,53,4,"null",-1
"euk",57.3009,10000,26.6740381198828,53,4,"null",-1
"viruses",54.3411,10000,6.38141230702916,54,4,"null",-1
"archaea",55.8756,10000,7.07743835390781,56,5,"null",-1
"bact",54.0227,10000,12.2323320632155,53,5,"null",-1
"euk",57.314,10000,26.7416438453502,53,5,"null",-1
"viruses",54.4172,10000,6.38341749863631,54,5,"null",-1
"archaea",55.8826,10000,6.90133176118985,56,6,"null",-1
"bact",54.0589,10000,12.1595236827607,53,6,"null",-1
"euk",57.2838,10000,26.7678857874684,53,6,"null",-1
"viruses",54.4125,10000,6.47727869277881,54,6,"null",-1
"archaea",55.8509,10000,6.9252483779652,56,7,"null",-1
"bact",54.006,10000,12.1453577539526,53,7,"null",-1
"euk",57.2268,10000,26.682382890508,53,7,"null",-1
"viruses",54.3683,10000,6.45499975307368,54,7,"null",-1
"archaea",55.8807,10000,7.03536901318724,56,8,"null",-1
"bact",54.039,10000,12.2068415119543,53,8,"null",-1
"euk",57.2977,10000,26.7372841355717,53,8,"null",-1
"viruses",54.4371,10000,6.3747711614407,54,8,"null",-1
"archaea",55.902,10000,6.93876146304685,56,9,"null",-1
"bact",53.983,10000,12.1622326482558,53,9,"null",-1
"euk",57.3251,10000,26.7990303703862,53,9,"null",-1
"viruses",54.3683,10000,6.44588318626743,54,9,"null",-1
"archaea",55.9143,10000,6.99058240307869,56,10,"null",-1
"bact",54.0112,10000,12.2341588196411,53,10,"null",-1
"euk",57.2814,10000,26.7973510601773,53,10,"null",-1
"viruses",54.4261,10000,6.48867853148147,54,10,"null",-1
"archaea",25.0653,10000,24.4052125036791,23,-1,"observed",1
"bact",26.5993,10000,25.7914958782147,22,-1,"observed",1
"euk",33.6739,10000,15.881844417076,33,-1,"observed",1
"viruses",36.0161,10000,18.4580581530419,35,-1,"observed",1
