"src_classLabels","mean_kDN","counts","sd_kDN","median_kDN","perm_id","model","group_sampling_id"
"dsDNA viruses, no RNA stage",58.0161290322581,62,3.17516972817988,58,1,"null",-1
"dsRNA viruses",51.6129032258064,62,3.49404570198079,52,1,"null",-1
"ssDNA viruses",55.0483870967742,62,3.91896364418209,55,1,"null",-1
"ssRNA viruses",52.0483870967742,62,3.91058848179262,51.5,1,"null",-1
"dsDNA viruses, no RNA stage",58.5645161290323,62,3.28743742814945,58.5,2,"null",-1
"dsRNA viruses",51.5,62,3.86556890390272,52,2,"null",-1
"ssDNA viruses",54.9516129032258,62,3.91896364418209,55,2,"null",-1
"ssRNA viruses",51.8709677419355,62,3.91919978018155,52,2,"null",-1
"dsDNA viruses, no RNA stage",58.9032258064516,62,3.11900403092027,59.5,3,"null",-1
"dsRNA viruses",51.2258064516129,62,4.3284016466109,51,3,"null",-1
"ssDNA viruses",55.1290322580645,62,3.32148431646397,55,3,"null",-1
"ssRNA viruses",51.5967741935484,62,3.2414309601605,52,3,"null",-1
"dsDNA viruses, no RNA stage",58.0161290322581,62,3.87717970629181,58,4,"null",-1
"dsRNA viruses",51.1129032258064,62,3.8287302124414,51,4,"null",-1
"ssDNA viruses",55.3548387096774,62,4.1452986374001,55,4,"null",-1
"ssRNA viruses",51.5,62,4.17152721964777,51,4,"null",-1
"dsDNA viruses, no RNA stage",58.6935483870968,62,3.27728751134937,59,5,"null",-1
"dsRNA viruses",51.5967741935484,62,4.26752770375002,52.5,5,"null",-1
"ssDNA viruses",54.6935483870968,62,3.39038519827796,55,5,"null",-1
"ssRNA viruses",51.5806451612903,62,3.56001651818223,52,5,"null",-1
"dsDNA viruses, no RNA stage",58.1451612903226,62,4.05230868903936,58.5,6,"null",-1
"dsRNA viruses",50.6774193548387,62,4.45293858969037,50,6,"null",-1
"ssDNA viruses",54.5806451612903,62,3.64645971174815,54,6,"null",-1
"ssRNA viruses",51.5967741935484,62,4.24441649591537,51,6,"null",-1
"dsDNA viruses, no RNA stage",58.8387096774194,62,3.04175072747612,59,7,"null",-1
"dsRNA viruses",51.5967741935484,62,3.62351010612075,52,7,"null",-1
"ssDNA viruses",54.9677419354839,62,4.44628318506808,56,7,"null",-1
"ssRNA viruses",51.3387096774194,62,3.21341220199103,51,7,"null",-1
"dsDNA viruses, no RNA stage",59.0806451612903,62,3.46077972402967,59,8,"null",-1
"dsRNA viruses",51.5161290322581,62,3.42000831886569,51,8,"null",-1
"ssDNA viruses",54.6774193548387,62,3.26819844867889,55,8,"null",-1
"ssRNA viruses",51.0483870967742,62,3.56406205606789,51.5,8,"null",-1
"dsDNA viruses, no RNA stage",58.5322580645161,62,2.96823478996802,59,9,"null",-1
"dsRNA viruses",51.1451612903226,62,3.97470186197553,51,9,"null",-1
"ssDNA viruses",54.9838709677419,62,3.4616964261778,55.5,9,"null",-1
"ssRNA viruses",51.2096774193548,62,3.43624412181784,51,9,"null",-1
"dsDNA viruses, no RNA stage",58.2096774193548,62,3.44577240037984,59,10,"null",-1
"dsRNA viruses",50.8548387096774,62,4.59809930152381,50,10,"null",-1
"ssDNA viruses",54.3709677419355,62,3.76887107925664,54.5,10,"null",-1
"ssRNA viruses",51.5483870967742,62,4.063743809511,52,10,"null",-1
"dsDNA viruses, no RNA stage",56.5322580645161,62,2.99572231600428,57,1,"null",-1
"dsRNA viruses",51.8709677419355,62,3.98967466921245,52,1,"null",-1
"ssDNA viruses",55.3387096774194,62,3.83659492295651,56,1,"null",-1
"ssRNA viruses",52.3709677419355,62,3.9968588935983,52.5,1,"null",-1
"dsDNA viruses, no RNA stage",57.0161290322581,62,3.2466473778642,57,2,"null",-1
"dsRNA viruses",52.258064516129,62,3.67952012137973,53,2,"null",-1
"ssDNA viruses",54.9516129032258,62,3.77840030056454,55,2,"null",-1
"ssRNA viruses",52.5,62,4.4121664876514,53,2,"null",-1
"dsDNA viruses, no RNA stage",57.7741935483871,62,3.39922534491779,58,3,"null",-1
"dsRNA viruses",52.0967741935484,62,3.92432380066144,52,3,"null",-1
"ssDNA viruses",55.241935483871,62,4.08790893626305,55,3,"null",-1
"ssRNA viruses",52.1290322580645,62,3.86444011582253,52,3,"null",-1
"dsDNA viruses, no RNA stage",57.3709677419355,62,2.99854539034492,57,4,"null",-1
"dsRNA viruses",51.241935483871,62,4.02730631967457,51,4,"null",-1
"ssDNA viruses",54.741935483871,62,2.82805316730095,55.5,4,"null",-1
"ssRNA viruses",51.5967741935484,62,3.77854025686716,51,4,"null",-1
"dsDNA viruses, no RNA stage",57.3064516129032,62,3.41447598013689,57.5,5,"null",-1
"dsRNA viruses",52.241935483871,62,3.41013669199118,53,5,"null",-1
"ssDNA viruses",54.4354838709677,62,3.86077783610189,54,5,"null",-1
"ssRNA viruses",51.7258064516129,62,3.79460080121921,51,5,"null",-1
"dsDNA viruses, no RNA stage",57.5483870967742,62,3.20183051821482,58.5,6,"null",-1
"dsRNA viruses",51.9354838709677,62,4.55879969729571,53,6,"null",-1
"ssDNA viruses",55.1451612903226,62,4.05230868903936,55,6,"null",-1
"ssRNA viruses",51.7258064516129,62,4.09785771636403,51,6,"null",-1
"dsDNA viruses, no RNA stage",57.741935483871,62,3.30888264965865,58,7,"null",-1
"dsRNA viruses",52.4516129032258,62,3.78381982100939,53,7,"null",-1
"ssDNA viruses",55.3387096774194,62,3.51550919002507,55,7,"null",-1
"ssRNA viruses",52.2096774193548,62,3.92193117692431,52.5,7,"null",-1
"dsDNA viruses, no RNA stage",57.1290322580645,62,2.80797383907143,57,8,"null",-1
"dsRNA viruses",52.1935483870968,62,3.25847550433856,53,8,"null",-1
"ssDNA viruses",55.1935483870968,62,3.67908893603561,55.5,8,"null",-1
"ssRNA viruses",51.5645161290323,62,3.72682331981443,52,8,"null",-1
"dsDNA viruses, no RNA stage",57.3064516129032,62,3.39521702957973,57,9,"null",-1
"dsRNA viruses",51.7903225806452,62,4.10172733215539,51.5,9,"null",-1
"ssDNA viruses",55.1451612903226,62,3.55217215556049,55,9,"null",-1
"ssRNA viruses",51.9354838709677,62,3.91663525608957,51.5,9,"null",-1
"dsDNA viruses, no RNA stage",57.0161290322581,62,3.47115483917154,58,10,"null",-1
"dsRNA viruses",51.7258064516129,62,3.04162033413227,51,10,"null",-1
"ssDNA viruses",54.3064516129032,62,3.67351490982441,54,10,"null",-1
"ssRNA viruses",52.258064516129,62,3.85786607060435,52,10,"null",-1
"dsDNA viruses, no RNA stage",58.4516129032258,62,2.83235069697424,59,1,"null",-1
"dsRNA viruses",54,62,3.75040981367261,54,1,"null",-1
"ssDNA viruses",55.8548387096774,62,2.69697325304819,56,1,"null",-1
"ssRNA viruses",49.1290322580645,62,3.9150146911256,49,1,"null",-1
"dsDNA viruses, no RNA stage",58.7096774193548,62,3.37000801076147,59,2,"null",-1
"dsRNA viruses",53.8548387096774,62,3.68357797458808,54,2,"null",-1
"ssDNA viruses",55.5,62,3.22769775333522,55.5,2,"null",-1
"ssRNA viruses",49.741935483871,62,4.04456925454193,50,2,"null",-1
"dsDNA viruses, no RNA stage",58.0967741935484,62,2.66556472913804,58,3,"null",-1
"dsRNA viruses",53.6612903225806,62,3.94197066630425,54,3,"null",-1
"ssDNA viruses",54.2741935483871,62,3.48377670906822,54.5,3,"null",-1
"ssRNA viruses",49.2741935483871,62,3.88426567458733,49,3,"null",-1
"dsDNA viruses, no RNA stage",57.6774193548387,62,3.19720263769823,57.5,4,"null",-1
"dsRNA viruses",53.5645161290323,62,3.47176417450007,53.5,4,"null",-1
"ssDNA viruses",54.6451612903226,62,3.98397105704786,55,4,"null",-1
"ssRNA viruses",49.5967741935484,62,4.17824057967205,50,4,"null",-1
"dsDNA viruses, no RNA stage",58.3387096774194,62,3.34832254741746,58,5,"null",-1
"dsRNA viruses",52.8387096774194,62,4.42494252398385,53.5,5,"null",-1
"ssDNA viruses",55.0806451612903,62,3.64083573137337,55,5,"null",-1
"ssRNA viruses",49.9516129032258,62,3.96884349242594,50,5,"null",-1
"dsDNA viruses, no RNA stage",58.3225806451613,62,3.49601268683403,58,6,"null",-1
"dsRNA viruses",54.0645161290323,62,3.82344350734177,54,6,"null",-1
"ssDNA viruses",54.9032258064516,62,3.4957101458195,54.5,6,"null",-1
"ssRNA viruses",49.4193548387097,62,3.74405928169043,49,6,"null",-1
"dsDNA viruses, no RNA stage",57.6129032258064,62,3.15893133366477,58,7,"null",-1
"dsRNA viruses",53.1774193548387,62,3.72199573448011,54,7,"null",-1
"ssDNA viruses",54.758064516129,62,4.07183643215143,55,7,"null",-1
"ssRNA viruses",48.5322580645161,62,4.0598705540839,48.5,7,"null",-1
"dsDNA viruses, no RNA stage",58.3064516129032,62,3.12886461195038,58,8,"null",-1
"dsRNA viruses",53.5483870967742,62,3.9781263377594,53,8,"null",-1
"ssDNA viruses",54.6129032258064,62,3.49404570198079,54,8,"null",-1
"ssRNA viruses",48.4354838709677,62,4.35935386903533,49,8,"null",-1
"dsDNA viruses, no RNA stage",58.5,62,3.12970956595227,59,9,"null",-1
"dsRNA viruses",54.0322580645161,62,4.17631001116537,55,9,"null",-1
"ssDNA viruses",55.6451612903226,62,3.04122912055683,56,9,"null",-1
"ssRNA viruses",49.2903225806452,62,4.02609153013067,50,9,"null",-1
"dsDNA viruses, no RNA stage",58.258064516129,62,3.1463509119841,58,10,"null",-1
"dsRNA viruses",53.741935483871,62,3.87059314245995,54,10,"null",-1
"ssDNA viruses",54.9354838709677,62,4.26526561255419,55,10,"null",-1
"ssRNA viruses",48.258064516129,62,4.33414004884274,48,10,"null",-1
"dsDNA viruses, no RNA stage",60.4677419354839,62,2.73242666384563,61,1,"null",-1
"dsRNA viruses",52.0483870967742,62,3.3162660186897,52,1,"null",-1
"ssDNA viruses",53.1290322580645,62,3.2717562886097,53,1,"null",-1
"ssRNA viruses",50.8387096774194,62,3.33974352793202,51,1,"null",-1
"dsDNA viruses, no RNA stage",60.5,62,3.26305699974833,60.5,2,"null",-1
"dsRNA viruses",51.5806451612903,62,3.54154910579349,52,2,"null",-1
"ssDNA viruses",53.1935483870968,62,3.35270240731958,54,2,"null",-1
"ssRNA viruses",49.8709677419355,62,4.05892609138622,50,2,"null",-1
"dsDNA viruses, no RNA stage",60.6935483870968,62,3.16532809620688,61,3,"null",-1
"dsRNA viruses",51.6451612903226,62,3.99219227416301,51,3,"null",-1
"ssDNA viruses",54.0483870967742,62,3.60067124595819,54,3,"null",-1
"ssRNA viruses",49.758064516129,62,3.74465951469761,49.5,3,"null",-1
"dsDNA viruses, no RNA stage",60.2741935483871,62,3.33471238880106,60,4,"null",-1
"dsRNA viruses",52.8709677419355,62,3.84317095411444,53,4,"null",-1
"ssDNA viruses",53.3548387096774,62,3.68913679624757,54,4,"null",-1
"ssRNA viruses",50.1290322580645,62,3.16478508304959,50,4,"null",-1
"dsDNA viruses, no RNA stage",60.9677419354839,62,2.80495896896137,61,5,"null",-1
"dsRNA viruses",52.4677419354839,62,4.06793838281866,54,5,"null",-1
"ssDNA viruses",53.2096774193548,62,3.55351175541537,53,5,"null",-1
"ssRNA viruses",50.7096774193548,62,3.89361434673763,51,5,"null",-1
"dsDNA viruses, no RNA stage",60.6612903225806,62,2.61109579651788,61,6,"null",-1
"dsRNA viruses",52.3709677419355,62,2.98209889209279,53,6,"null",-1
"ssDNA viruses",53.2096774193548,62,3.52572325692187,53,6,"null",-1
"ssRNA viruses",49.8548387096774,62,3.86173652518558,50,6,"null",-1
"dsDNA viruses, no RNA stage",60.3870967741936,62,3.08542230130115,60,7,"null",-1
"dsRNA viruses",52.1935483870968,62,3.68354208398731,52,7,"null",-1
"ssDNA viruses",53.1290322580645,62,3.24155331601714,53,7,"null",-1
"ssRNA viruses",50.241935483871,62,4.48562543429041,50.5,7,"null",-1
"dsDNA viruses, no RNA stage",60.5483870967742,62,2.83813272344624,60.5,8,"null",-1
"dsRNA viruses",52.3225806451613,62,3.71869090992431,52,8,"null",-1
"ssDNA viruses",53.0645161290323,62,3.18228172466635,53.5,8,"null",-1
"ssRNA viruses",50.3387096774194,62,4.15654154941773,51,8,"null",-1
"dsDNA viruses, no RNA stage",60.3387096774194,62,3.19294071960649,60,9,"null",-1
"dsRNA viruses",51.9193548387097,62,3.5955272173057,52,9,"null",-1
"ssDNA viruses",53.1612903225806,62,3.88858585441005,53,9,"null",-1
"ssRNA viruses",50.758064516129,62,3.79250980469665,51,9,"null",-1
"dsDNA viruses, no RNA stage",61.0806451612903,62,2.83015603518619,61,10,"null",-1
"dsRNA viruses",52.0161290322581,62,3.75255950022779,53,10,"null",-1
"ssDNA viruses",53.7096774193548,62,3.22076814366068,54,10,"null",-1
"ssRNA viruses",49.6935483870968,62,3.71346115637627,50,10,"null",-1
"dsDNA viruses, no RNA stage",57.3709677419355,62,3.5631716897654,57,1,"null",-1
"dsRNA viruses",52.9838709677419,62,4.0101998457371,52.5,1,"null",-1
"ssDNA viruses",54.8709677419355,62,3.95666638525265,55,1,"null",-1
"ssRNA viruses",49.9354838709677,62,4.10066355183028,49.5,1,"null",-1
"dsDNA viruses, no RNA stage",56.9354838709677,62,3.15641926063632,57,2,"null",-1
"dsRNA viruses",52.9838709677419,62,3.72185365188216,53,2,"null",-1
"ssDNA viruses",55.3548387096774,62,3.51622363652876,55,2,"null",-1
"ssRNA viruses",50.3064516129032,62,3.66010261290098,51,2,"null",-1
"dsDNA viruses, no RNA stage",58.1935483870968,62,3.8233051947725,58,3,"null",-1
"dsRNA viruses",53.1290322580645,62,3.66858113890273,53.5,3,"null",-1
"ssDNA viruses",55.5483870967742,62,3.83118104186796,56,3,"null",-1
"ssRNA viruses",49.5,62,4.30687593597364,50.5,3,"null",-1
"dsDNA viruses, no RNA stage",58.5322580645161,62,3.15042407728502,58,4,"null",-1
"dsRNA viruses",52.7741935483871,62,3.35065129386399,52,4,"null",-1
"ssDNA viruses",55.741935483871,62,3.52013172197174,56,4,"null",-1
"ssRNA viruses",50.258064516129,62,3.94609366448443,50,4,"null",-1
"dsDNA viruses, no RNA stage",57.5645161290323,62,3.43378091924557,58,5,"null",-1
"dsRNA viruses",53.2903225806452,62,4.01793967581622,53,5,"null",-1
"ssDNA viruses",54.7903225806452,62,4.13357740816811,55,5,"null",-1
"ssRNA viruses",49.9838709677419,62,4.32488770055617,50,5,"null",-1
"dsDNA viruses, no RNA stage",57.6612903225806,62,3.42097459216415,58,6,"null",-1
"dsRNA viruses",52.8870967741936,62,3.63996414461568,53,6,"null",-1
"ssDNA viruses",55.1290322580645,62,4.36635373621538,56,6,"null",-1
"ssRNA viruses",49.5322580645161,62,4.22606177146589,49,6,"null",-1
"dsDNA viruses, no RNA stage",57.2096774193548,62,3.62205039646934,57,7,"null",-1
"dsRNA viruses",53.3225806451613,62,3.41056311656569,53.5,7,"null",-1
"ssDNA viruses",55,62,3.4403583496157,55,7,"null",-1
"ssRNA viruses",50.741935483871,62,3.30888264965865,51,7,"null",-1
