"src_classLabels","mean_kDN","counts","sd_kDN","median_kDN","perm_id","model","group_sampling_id"
"Baculoviridae",60.2388663967611,247,3.24657848826293,61,1,"null",-1
"Herpesviridae",61.4615384615385,247,3.1605962024944,62,1,"null",-1
"Myoviridae",58.7732793522267,247,3.39374343265453,59,1,"null",-1
"Podoviridae",59.9473684210526,247,3.51206734422631,60,1,"null",-1
"Poxviridae",60.0161943319838,247,3.38932759637918,60,1,"null",-1
"Siphoviridae",59.3036437246964,247,3.05387047542655,59,1,"null",-1
"Baculoviridae",60.1093117408907,247,3.26477167306066,60,2,"null",-1
"Herpesviridae",61.3481781376518,247,3.02567380130076,62,2,"null",-1
"Myoviridae",58.8016194331984,247,3.07182273703267,59,2,"null",-1
"Podoviridae",59.7044534412955,247,3.02524950339353,60,2,"null",-1
"Poxviridae",59.7854251012146,247,2.97662132520687,60,2,"null",-1
"Siphoviridae",59.6113360323887,247,3.15371007420652,60,2,"null",-1
"Baculoviridae",59.9635627530364,247,2.99503115934314,60,3,"null",-1
"Herpesviridae",61.5344129554656,247,2.69556809545406,62,3,"null",-1
"Myoviridae",59.1457489878542,247,3.19218624043889,59,3,"null",-1
"Podoviridae",59.7246963562753,247,3.29034023015705,60,3,"null",-1
"Poxviridae",59.914979757085,247,3.33326091886715,60,3,"null",-1
"Siphoviridae",59.753036437247,247,3.19293887018656,60,3,"null",-1
"Baculoviridae",60.412955465587,247,3.08542241413042,61,4,"null",-1
"Herpesviridae",61.6153846153846,247,3.02594575584615,62,4,"null",-1
"Myoviridae",58.8421052631579,247,3.32203906017523,59,4,"null",-1
"Podoviridae",59.8663967611336,247,3.24387546320793,60,4,"null",-1
"Poxviridae",59.5708502024291,247,3.21992660211346,60,4,"null",-1
"Siphoviridae",59.5465587044534,247,3.08893552250451,60,4,"null",-1
"Baculoviridae",60.1983805668016,247,3.28663179962214,61,5,"null",-1
"Herpesviridae",61.7206477732794,247,2.92850075155442,62,5,"null",-1
"Myoviridae",59.0607287449393,247,3.09870748613969,59,5,"null",-1
"Podoviridae",59.7449392712551,247,2.84199859117347,60,5,"null",-1
"Poxviridae",59.9878542510121,247,3.11889309812515,60,5,"null",-1
"Siphoviridae",59.5587044534413,247,2.98839135114223,60,5,"null",-1
"Baculoviridae",60.0323886639676,247,2.95201522092729,60,6,"null",-1
"Herpesviridae",61.7246963562753,247,3.09423759751327,62,6,"null",-1
"Myoviridae",58.7165991902834,247,3.25611491235158,59,6,"null",-1
"Podoviridae",59.7732793522267,247,3.13341786150776,60,6,"null",-1
"Poxviridae",60.1214574898785,247,3.24998828972477,60,6,"null",-1
"Siphoviridae",59.7327935222672,247,3.23871673150798,60,6,"null",-1
"Baculoviridae",60.0485829959514,247,3.22302249452242,60,7,"null",-1
"Herpesviridae",61.6518218623482,247,3.11438876812647,62,7,"null",-1
"Myoviridae",58.9676113360324,247,3.55887810647984,59,7,"null",-1
"Podoviridae",59.7854251012146,247,2.96430494078612,60,7,"null",-1
"Poxviridae",60.1174089068826,247,3.25451227828592,60,7,"null",-1
"Siphoviridae",59.5991902834008,247,3.16441073134528,60,7,"null",-1
"Baculoviridae",60.0080971659919,247,3.22590115075196,60,8,"null",-1
"Herpesviridae",61.5708502024291,247,3.08320267013243,62,8,"null",-1
"Myoviridae",58.663967611336,247,3.42225458878959,59,8,"null",-1
"Podoviridae",59.8502024291498,247,2.90881579142602,60,8,"null",-1
"Poxviridae",59.8582995951417,247,3.16615773777097,60,8,"null",-1
"Siphoviridae",60,247,3.08550242314798,60,8,"null",-1
"Baculoviridae",60.0607287449393,247,3.28589562157377,60,9,"null",-1
"Herpesviridae",61.4696356275304,247,3.17480059370387,62,9,"null",-1
"Myoviridae",58.9514170040486,247,3.34312606498414,59,9,"null",-1
"Podoviridae",59.7570850202429,247,2.87222832194667,60,9,"null",-1
"Poxviridae",59.8906882591093,247,3.06438271015428,60,9,"null",-1
"Siphoviridae",59.4372469635627,247,3.32077552893263,60,9,"null",-1
"Baculoviridae",60.1538461538462,247,3.12747712953226,60,10,"null",-1
"Herpesviridae",62.0161943319838,247,2.70496023043971,62,10,"null",-1
"Myoviridae",58.8218623481781,247,3.0297722843138,59,10,"null",-1
"Podoviridae",59.8704453441296,247,3.32999075355301,60,10,"null",-1
"Poxviridae",60.2226720647773,247,3.30234767220517,60,10,"null",-1
"Siphoviridae",59.4453441295547,247,3.22150557246936,59,10,"null",-1
"Baculoviridae",60.0769230769231,247,3.22939903640526,60,1,"null",-1
"Herpesviridae",61.4655870445344,247,3.09698088616355,62,1,"null",-1
"Myoviridae",59.9595141700405,247,3.29793920729935,60,1,"null",-1
"Podoviridae",59.7004048582996,247,3.15444579771281,60,1,"null",-1
"Poxviridae",60.4736842105263,247,2.82956153586337,60,1,"null",-1
"Siphoviridae",58.5910931174089,247,3.11415624615083,59,1,"null",-1
"Baculoviridae",60.1578947368421,247,3.23147761594763,60,2,"null",-1
"Herpesviridae",61.3036437246964,247,3.01502114801181,61,2,"null",-1
"Myoviridae",60.2064777327935,247,2.95251693346344,60,2,"null",-1
"Podoviridae",59.6720647773279,247,3.44317236909024,60,2,"null",-1
"Poxviridae",59.9433198380567,247,3.4175577725907,60,2,"null",-1
"Siphoviridae",58.5141700404858,247,3.46861679330156,59,2,"null",-1
"Baculoviridae",60.4048582995951,247,3.04139073481041,61,3,"null",-1
"Herpesviridae",61.4939271255061,247,2.98215620871951,62,3,"null",-1
"Myoviridae",59.8582995951417,247,2.99731620186175,60,3,"null",-1
"Podoviridae",59.6315789473684,247,3.4402411076703,60,3,"null",-1
"Poxviridae",60.1457489878542,247,3.29371971773756,60,3,"null",-1
"Siphoviridae",58.4574898785425,247,3.240560803948,59,3,"null",-1
"Baculoviridae",59.9271255060729,247,3.03950163003426,60,4,"null",-1
"Herpesviridae",62.0161943319838,247,2.89514256966163,62,4,"null",-1
"Myoviridae",59.9878542510121,247,3.14355940014629,60,4,"null",-1
"Podoviridae",59.9433198380567,247,3.25302015877328,60,4,"null",-1
"Poxviridae",59.9595141700405,247,2.97796456220377,60,4,"null",-1
"Siphoviridae",58.3400809716599,247,3.73808850677373,59,4,"null",-1
"Baculoviridae",60.3481781376518,247,2.97144723995653,60,5,"null",-1
"Herpesviridae",61.4534412955466,247,2.88478950134464,62,5,"null",-1
"Myoviridae",60.2348178137652,247,3.21731883957026,60,5,"null",-1
"Podoviridae",59.8704453441296,247,3.1928873258634,60,5,"null",-1
"Poxviridae",60.1619433198381,247,2.97927957353151,60,5,"null",-1
"Siphoviridae",58.3927125506073,247,3.3233021110188,58,5,"null",-1
"Baculoviridae",60.1902834008097,247,3.18153761987416,60,6,"null",-1
"Herpesviridae",61.6437246963563,247,2.9950146743396,62,6,"null",-1
"Myoviridae",60.1052631578947,247,3.1489210682202,60,6,"null",-1
"Podoviridae",59.8906882591093,247,3.0657089678561,60,6,"null",-1
"Poxviridae",60.0161943319838,247,2.93003456143221,60,6,"null",-1
"Siphoviridae",58.2550607287449,247,3.37068373446107,58,6,"null",-1
"Baculoviridae",60.0769230769231,247,3.3638069204584,60,7,"null",-1
"Herpesviridae",61.1821862348178,247,2.884498532902,61,7,"null",-1
"Myoviridae",60.2834008097166,247,3.00281842088059,60,7,"null",-1
"Podoviridae",59.7449392712551,247,3.02357348887678,60,7,"null",-1
"Poxviridae",60.0728744939271,247,3.27138881717342,60,7,"null",-1
"Siphoviridae",58.1983805668016,247,3.17080133509066,58,7,"null",-1
"Baculoviridae",60.2064777327935,247,3.13287682777317,60,8,"null",-1
"Herpesviridae",61.4089068825911,247,2.87666558671632,62,8,"null",-1
"Myoviridae",59.7246963562753,247,3.33939247202578,60,8,"null",-1
"Podoviridae",59.8097165991903,247,3.36291146130749,60,8,"null",-1
"Poxviridae",59.7651821862348,247,3.13670932563132,60,8,"null",-1
"Siphoviridae",58.4817813765182,247,3.25955008129915,58,8,"null",-1
"Baculoviridae",60.0283400809717,247,2.9513684434094,60,9,"null",-1
"Herpesviridae",61.3481781376518,247,3.38459967499967,62,9,"null",-1
"Myoviridae",59.9838056680162,247,3.0053713585399,60,9,"null",-1
"Podoviridae",59.8016194331984,247,3.13729166524114,60,9,"null",-1
"Poxviridae",59.9514170040486,247,3.06661607685069,60,9,"null",-1
"Siphoviridae",58.5910931174089,247,3.52211388211838,59,9,"null",-1
"Baculoviridae",60.2226720647773,247,3.35122416441387,61,10,"null",-1
"Herpesviridae",61.1902834008097,247,3.10392924349538,62,10,"null",-1
"Myoviridae",60.2712550607287,247,3.23900636608785,61,10,"null",-1
"Podoviridae",59.8704453441296,247,3.32999075355301,60,10,"null",-1
"Poxviridae",60.0242914979757,247,3.20812880839733,60,10,"null",-1
"Siphoviridae",58.3400809716599,247,3.36978033491978,59,10,"null",-1
"Baculoviridae",60.4898785425101,247,3.14146455951425,61,1,"null",-1
"Herpesviridae",61.7894736842105,247,2.80465106707492,62,1,"null",-1
"Myoviridae",59.0931174089069,247,3.09264686514652,59,1,"null",-1
"Podoviridae",59.9959514170041,247,3.32702408067667,60,1,"null",-1
"Poxviridae",59.8097165991903,247,3.42519163321347,60,1,"null",-1
"Siphoviridae",58.5344129554656,247,2.97513919185109,58,1,"null",-1
"Baculoviridae",60.7368421052632,247,3.10513260968809,61,2,"null",-1
"Herpesviridae",61.6558704453441,247,3.00524540605706,62,2,"null",-1
"Myoviridae",58.8421052631579,247,3.44695111259421,59,2,"null",-1
"Podoviridae",60.1497975708502,247,3.048028477743,61,2,"null",-1
"Poxviridae",59.8380566801619,247,3.4153659633253,60,2,"null",-1
"Siphoviridae",58.6963562753036,247,3.168843958789,59,2,"null",-1
"Baculoviridae",60.8906882591093,247,3.00950295912118,61,3,"null",-1
"Herpesviridae",61.7327935222672,247,3.06061020834695,62,3,"null",-1
"Myoviridae",58.9068825910931,247,3.3464325742444,59,3,"null",-1
"Podoviridae",60.0931174089069,247,3.17053142399651,60,3,"null",-1
"Poxviridae",59.4615384615385,247,2.99958304377839,60,3,"null",-1
"Siphoviridae",58.7854251012146,247,3.30042343327028,59,3,"null",-1
"Baculoviridae",60.8663967611336,247,2.90681222116172,61,4,"null",-1
"Herpesviridae",61.7004048582996,247,3.24965911877984,62,4,"null",-1
"Myoviridae",59.2631578947368,247,3.03763302217482,59,4,"null",-1
"Podoviridae",59.8906882591093,247,3.18663914439161,60,4,"null",-1
"Poxviridae",59.6356275303644,247,3.16562229958491,60,4,"null",-1
"Siphoviridae",58.7368421052632,247,3.397688559615,59,4,"null",-1
"Baculoviridae",60.6396761133603,247,3.20373966828622,61,5,"null",-1
"Herpesviridae",61.5263157894737,247,2.98749354346237,61,5,"null",-1
"Myoviridae",59.2307692307692,247,3.45107863063445,60,5,"null",-1
"Podoviridae",59.8825910931174,247,3.14396773144113,60,5,"null",-1
"Poxviridae",59.9676113360324,247,3.14018077950953,60,5,"null",-1
"Siphoviridae",58.7246963562753,247,3.28663179962214,59,5,"null",-1
"Baculoviridae",60.9230769230769,247,2.99426176246982,61,6,"null",-1
"Herpesviridae",62.0769230769231,247,3.07860335609186,62,6,"null",-1
"Myoviridae",59.1538461538462,247,3.12617707662994,59,6,"null",-1
"Podoviridae",60,247,3.21202010746068,60,6,"null",-1
"Poxviridae",59.587044534413,247,3.32511907147279,60,6,"null",-1
"Siphoviridae",58.6153846153846,247,3.21484206547401,59,6,"null",-1
"Baculoviridae",60.4898785425101,247,3.19662213510121,61,7,"null",-1
"Herpesviridae",61.8785425101215,247,2.96617535575221,62,7,"null",-1
"Myoviridae",59.0445344129555,247,3.33770655489292,59,7,"null",-1
"Podoviridae",59.919028340081,247,3.2122609156559,60,7,"null",-1
