"src_classLabels","mean_kDN","counts","sd_kDN","median_kDN","perm_id","model","group_sampling_id"
"Actinobacteria",52.2159624413146,213,3.79551978175283,52,1,"null",-1
"Bacteroidetes/Chlorobi group",53.830985915493,213,3.34629864020283,54,1,"null",-1
"Firmicutes",55.3192488262911,213,3.65382397246442,55,1,"null",-1
"Proteobacteria",54.9530516431925,213,3.51246467546323,55,1,"null",-1
"Actinobacteria",52.3896713615023,213,3.96961173722538,52,2,"null",-1
"Bacteroidetes/Chlorobi group",54.2253521126761,213,3.61677374905411,54,2,"null",-1
"Firmicutes",54.943661971831,213,3.66737525264167,55,2,"null",-1
"Proteobacteria",54.5821596244131,213,3.36590297857682,55,2,"null",-1
"Actinobacteria",52.2347417840376,213,3.73677726071779,52,3,"null",-1
"Bacteroidetes/Chlorobi group",54.3802816901408,213,3.69229001849174,54,3,"null",-1
"Firmicutes",54.906103286385,213,3.71389668837504,55,3,"null",-1
"Proteobacteria",55.1032863849765,213,3.86184022241286,55,3,"null",-1
"Actinobacteria",52.3427230046948,213,3.79670985957807,52,4,"null",-1
"Bacteroidetes/Chlorobi group",53.830985915493,213,3.64582695860141,54,4,"null",-1
"Firmicutes",54.6948356807512,213,3.33447141524684,55,4,"null",-1
"Proteobacteria",54.4178403755869,213,3.86677441424067,55,4,"null",-1
"Actinobacteria",51.5915492957746,213,3.90661315744793,52,5,"null",-1
"Bacteroidetes/Chlorobi group",53.8967136150235,213,3.63533996978256,54,5,"null",-1
"Firmicutes",54.9953051643192,213,3.39324752971912,55,5,"null",-1
"Proteobacteria",54.6338028169014,213,3.56439191386868,55,5,"null",-1
"Actinobacteria",51.849765258216,213,3.8370048314684,52,6,"null",-1
"Bacteroidetes/Chlorobi group",54.7511737089202,213,3.63150016208592,55,6,"null",-1
"Firmicutes",54.8591549295775,213,3.65865131860999,55,6,"null",-1
"Proteobacteria",55.056338028169,213,3.53107762138088,55,6,"null",-1
"Actinobacteria",52.0469483568075,213,3.68802915386704,52,7,"null",-1
"Bacteroidetes/Chlorobi group",54.2253521126761,213,3.88343306261959,54,7,"null",-1
"Firmicutes",55.075117370892,213,3.56396940703372,55,7,"null",-1
"Proteobacteria",54.4976525821596,213,3.62463324513672,55,7,"null",-1
"Actinobacteria",52.2347417840376,213,3.71652537997403,52,8,"null",-1
"Bacteroidetes/Chlorobi group",54.6150234741784,213,3.53848912758682,55,8,"null",-1
"Firmicutes",54.5070422535211,213,3.83949156214119,54,8,"null",-1
"Proteobacteria",54.4976525821596,213,3.68016664556225,54,8,"null",-1
"Actinobacteria",52.0234741784038,213,3.6683775069543,52,9,"null",-1
"Bacteroidetes/Chlorobi group",54.0516431924883,213,3.58352619957372,54,9,"null",-1
"Firmicutes",54.8732394366197,213,3.54591012400117,55,9,"null",-1
"Proteobacteria",54.8591549295775,213,3.85086038406766,55,9,"null",-1
"Actinobacteria",52.18779342723,213,3.76082604767889,52,10,"null",-1
"Bacteroidetes/Chlorobi group",54.3943661971831,213,3.66837147009754,54,10,"null",-1
"Firmicutes",54.9295774647887,213,3.35898096489227,55,10,"null",-1
"Proteobacteria",55.0328638497653,213,3.7231871320221,55,10,"null",-1
"Actinobacteria",53.3802816901408,213,3.75938899033523,53,1,"null",-1
"Bacteroidetes/Chlorobi group",53.3661971830986,213,3.5723232621415,53,1,"null",-1
"Firmicutes",55.6807511737089,213,3.26234309231024,56,1,"null",-1
"Proteobacteria",53.1079812206573,213,3.71541690690271,53,1,"null",-1
"Actinobacteria",53.1032863849765,213,3.9260425244062,53,2,"null",-1
"Bacteroidetes/Chlorobi group",53.5023474178404,213,3.61551219412981,54,2,"null",-1
"Firmicutes",55.4413145539906,213,3.81563097969793,56,2,"null",-1
"Proteobacteria",53.2863849765258,213,3.24875194935724,53,2,"null",-1
"Actinobacteria",53.0328638497653,213,3.9086080335175,53,3,"null",-1
"Bacteroidetes/Chlorobi group",53.6854460093897,213,3.4476714062696,54,3,"null",-1
"Firmicutes",55.7089201877934,213,3.53149779253708,56,3,"null",-1
"Proteobacteria",53.6291079812207,213,3.59224763462567,54,3,"null",-1
"Actinobacteria",53.3896713615023,213,3.62294657324937,53,4,"null",-1
"Bacteroidetes/Chlorobi group",53.5446009389671,213,3.6850195789909,54,4,"null",-1
"Firmicutes",55.6525821596244,213,3.45748509854509,56,4,"null",-1
"Proteobacteria",53.2582159624413,213,4.03685738624909,53,4,"null",-1
"Actinobacteria",53.1079812206573,213,3.54254228075918,53,5,"null",-1
"Bacteroidetes/Chlorobi group",53.4976525821596,213,3.70698526388439,53,5,"null",-1
"Firmicutes",55.6244131455399,213,3.63029252657491,56,5,"null",-1
"Proteobacteria",53.1596244131455,213,3.57307328338754,53,5,"null",-1
"Actinobacteria",52.7276995305164,213,3.76691566737846,52,6,"null",-1
"Bacteroidetes/Chlorobi group",53.3755868544601,213,3.81280925231559,53,6,"null",-1
"Firmicutes",55.6995305164319,213,3.40834848587802,56,6,"null",-1
"Proteobacteria",53.7370892018779,213,3.82351031251781,54,6,"null",-1
"Actinobacteria",53.4319248826291,213,3.74308350261363,54,7,"null",-1
"Bacteroidetes/Chlorobi group",53.5446009389671,213,3.50392387261673,54,7,"null",-1
"Firmicutes",55.8920187793427,213,3.86232188447161,56,7,"null",-1
"Proteobacteria",53.4929577464789,213,3.53102117667014,54,7,"null",-1
"Actinobacteria",53.7558685446009,213,3.77885450118532,54,8,"null",-1
"Bacteroidetes/Chlorobi group",53.4366197183099,213,3.68346276671291,53,8,"null",-1
"Firmicutes",55.9859154929577,213,3.62314216965111,56,8,"null",-1
"Proteobacteria",53.0985915492958,213,3.5481390135872,53,8,"null",-1
"Actinobacteria",53.5446009389671,213,3.55869006207673,54,9,"null",-1
"Bacteroidetes/Chlorobi group",53.6619718309859,213,3.69833081410026,54,9,"null",-1
"Firmicutes",55.8075117370892,213,3.58791734224946,56,9,"null",-1
"Proteobacteria",53.4319248826291,213,3.52234304442833,54,9,"null",-1
"Actinobacteria",53.4225352112676,213,3.68831136323897,54,10,"null",-1
"Bacteroidetes/Chlorobi group",53.2582159624413,213,3.72700378045895,53,10,"null",-1
"Firmicutes",55.4929577464789,213,3.43898256990796,56,10,"null",-1
"Proteobacteria",53.4882629107981,213,3.54966159513633,53,10,"null",-1
"Actinobacteria",52.3802816901408,213,3.3982495376703,53,1,"null",-1
"Bacteroidetes/Chlorobi group",54.8262910798122,213,3.64754554975183,55,1,"null",-1
"Firmicutes",55.4460093896714,213,3.50782757314699,55,1,"null",-1
"Proteobacteria",53.075117370892,213,3.69267385486767,53,1,"null",-1
"Actinobacteria",52.2018779342723,213,3.67572303811838,52,2,"null",-1
"Bacteroidetes/Chlorobi group",54.9389671361502,213,4.11176784087049,55,2,"null",-1
"Firmicutes",55.7042253521127,213,3.55838512582518,56,2,"null",-1
"Proteobacteria",52.9718309859155,213,3.79785874745746,53,2,"null",-1
"Actinobacteria",52.4272300469484,213,3.65629598227992,53,3,"null",-1
"Bacteroidetes/Chlorobi group",54.5211267605634,213,3.6852299085863,55,3,"null",-1
"Firmicutes",55.4507042253521,213,3.46596143265772,55,3,"null",-1
"Proteobacteria",53.4319248826291,213,3.52100362970113,54,3,"null",-1
"Actinobacteria",52.5399061032864,213,3.53747511366809,52,4,"null",-1
"Bacteroidetes/Chlorobi group",54.9530516431925,213,3.94629663773275,55,4,"null",-1
"Firmicutes",55.3661971830986,213,3.48408552992078,55,4,"null",-1
"Proteobacteria",53.093896713615,213,3.568812805169,53,4,"null",-1
"Actinobacteria",51.9671361502347,213,3.79471451747184,52,5,"null",-1
"Bacteroidetes/Chlorobi group",54.4976525821596,213,3.5563183383964,54,5,"null",-1
"Firmicutes",55.8403755868545,213,3.64366390474231,56,5,"null",-1
"Proteobacteria",53.2910798122066,213,3.64843792604503,53,5,"null",-1
"Actinobacteria",52.1408450704225,213,3.74907199076269,52,6,"null",-1
"Bacteroidetes/Chlorobi group",54.9342723004695,213,3.60102174455362,55,6,"null",-1
"Firmicutes",55.7793427230047,213,3.43993548918039,56,6,"null",-1
"Proteobacteria",52.7323943661972,213,3.7903467748915,53,6,"null",-1
"Actinobacteria",52.5352112676056,213,3.81592116249314,53,7,"null",-1
"Bacteroidetes/Chlorobi group",54.7652582159624,213,3.45610132543727,55,7,"null",-1
"Firmicutes",55.5352112676056,213,3.36952624986832,56,7,"null",-1
"Proteobacteria",53.2769953051643,213,3.53730608308774,54,7,"null",-1
"Actinobacteria",52.4460093896714,213,3.86971130753768,52,8,"null",-1
"Bacteroidetes/Chlorobi group",54.8544600938967,213,3.6681239504162,55,8,"null",-1
"Firmicutes",55.6431924882629,213,3.33992615802736,56,8,"null",-1
"Proteobacteria",53.4647887323944,213,3.79733391794832,53,8,"null",-1
"Actinobacteria",52.1267605633803,213,3.67139469205539,52,9,"null",-1
"Bacteroidetes/Chlorobi group",54.7136150234742,213,3.71097970359957,55,9,"null",-1
"Firmicutes",55.7089201877934,213,3.35617780948551,56,9,"null",-1
"Proteobacteria",53.2863849765258,213,3.75269118303717,53,9,"null",-1
"Actinobacteria",52.4976525821596,213,4.02541971694871,52,10,"null",-1
"Bacteroidetes/Chlorobi group",54.8356807511737,213,3.44036035457008,55,10,"null",-1
"Firmicutes",55.5211267605634,213,3.58136880228872,56,10,"null",-1
"Proteobacteria",53.0281690140845,213,3.74784905980391,53,10,"null",-1
