"src_classLabels","mean_kDN","counts","sd_kDN","median_kDN","perm_id","model","group_sampling_id"
"Actinobacteria",58.1954887218045,266,3.21660467097004,58,1,"null",-1
"Alphaproteobacteria",56.8872180451128,266,3.55899951033167,57,1,"null",-1
"Bacilli",59.0751879699248,266,3.0815924825786,59,1,"null",-1
"Betaproteobacteria",62.9736842105263,266,2.79677428037595,63,1,"null",-1
"Clostridia",62.7556390977444,266,2.84115080414602,63,1,"null",-1
"Gammaproteobacteria",59.7744360902256,266,3.17208708475329,60,1,"null",-1
"Actinobacteria",58.2481203007519,266,3.26769439239304,58,2,"null",-1
"Alphaproteobacteria",56.515037593985,266,3.75697582598982,56.5,2,"null",-1
"Bacilli",58.8834586466165,266,3.30202180377766,59,2,"null",-1
"Betaproteobacteria",62.9473684210526,266,2.90169966970872,63,2,"null",-1
"Clostridia",62.984962406015,266,2.65069577880769,63,2,"null",-1
"Gammaproteobacteria",59.7932330827068,266,3.09572305057232,60,2,"null",-1
"Actinobacteria",58.3082706766917,266,3.41623305980586,59,3,"null",-1
"Alphaproteobacteria",56.7293233082707,266,3.2427051822284,57,3,"null",-1
"Bacilli",59.281954887218,266,3.16457596996111,59,3,"null",-1
"Betaproteobacteria",62.6315789473684,266,2.91378942586318,63,3,"null",-1
"Clostridia",63.2781954887218,266,2.8822249881636,63,3,"null",-1
"Gammaproteobacteria",59.5300751879699,266,3.1755310941911,60,3,"null",-1
"Actinobacteria",58.312030075188,266,3.13778043398869,59,4,"null",-1
"Alphaproteobacteria",56.7556390977444,266,3.58987913884607,57,4,"null",-1
"Bacilli",59.2706766917293,266,3.09260303023593,59,4,"null",-1
"Betaproteobacteria",62.7706766917293,266,2.70081139324274,63,4,"null",-1
"Clostridia",63.2067669172932,266,2.72072952172264,63,4,"null",-1
"Gammaproteobacteria",59.7631578947368,266,2.98175517981166,60,4,"null",-1
"Actinobacteria",58.7744360902256,266,3.37720782595234,59,5,"null",-1
"Alphaproteobacteria",57.0225563909774,266,3.32279983195244,57,5,"null",-1
"Bacilli",59.2481203007519,266,3.05769925847596,59,5,"null",-1
"Betaproteobacteria",62.7218045112782,266,3.06126964277747,63,5,"null",-1
"Clostridia",63,266,2.8096867481343,63,5,"null",-1
"Gammaproteobacteria",59.7293233082707,266,3.3060900227419,60,5,"null",-1
"Actinobacteria",58.3007518796992,266,3.21666641552556,58.5,6,"null",-1
"Alphaproteobacteria",56.9962406015038,266,3.73003932429142,57,6,"null",-1
"Bacilli",59.1240601503759,266,3.40416283174697,59,6,"null",-1
"Betaproteobacteria",62.7518796992481,266,2.99157563088157,63,6,"null",-1
"Clostridia",62.9210526315789,266,2.79577990959228,63,6,"null",-1
"Gammaproteobacteria",59.4360902255639,266,3.23274142312833,60,6,"null",-1
"Actinobacteria",58.3796992481203,266,3.5034486384186,59,7,"null",-1
"Alphaproteobacteria",57,266,3.21435459644671,57,7,"null",-1
"Bacilli",59.109022556391,266,3.16098763277929,59,7,"null",-1
"Betaproteobacteria",62.5676691729323,266,2.5955564022595,63,7,"null",-1
"Clostridia",63.0075187969925,266,2.7168134514232,63,7,"null",-1
"Gammaproteobacteria",59.7744360902256,266,3.21110465058867,60,7,"null",-1
