file,contig,length,GC
../../data/5_2k_benchmark/arch_cont.fasta,0_arch_gi|161527512|ref|NC_010085.1|_len374,374,33.422459893
../../data/5_2k_benchmark/arch_cont.fasta,1_arch_gi|161527512|ref|NC_010085.1|_len265,265,32.8301886792
../../data/5_2k_benchmark/arch_cont.fasta,2_arch_gi|150401930|ref|NC_009637.1|_len556,556,25.5395683453
../../data/5_2k_benchmark/arch_cont.fasta,3_arch_gi|161527512|ref|NC_010085.1|_len829,829,33.8962605549
../../data/5_2k_benchmark/arch_cont.fasta,4_arch_gi|170289627|ref|NC_010482.1|_len503,503,51.0934393638
../../data/5_2k_benchmark/arch_cont.fasta,5_arch_gi|170289627|ref|NC_010482.1|_len501,501,49.1017964072
../../data/5_2k_benchmark/arch_cont.fasta,6_arch_gi|170289627|ref|NC_010482.1|_len691,691,52.8219971056
../../data/5_2k_benchmark/arch_cont.fasta,7_arch_gi|150401930|ref|NC_009637.1|_len563,563,30.1953818828
../../data/5_2k_benchmark/arch_cont.fasta,8_arch_gi|323473489|gb|CP002425.1|_len469,469,36.6737739872
../../data/5_2k_benchmark/arch_cont.fasta,9_arch_gi|161527512|ref|NC_010085.1|_len383,383,34.2036553525
../../data/5_2k_benchmark/arch_cont.fasta,10_arch_gi|323473489|gb|CP002425.1|_len621,621,32.5281803543
../../data/5_2k_benchmark/arch_cont.fasta,11_arch_gi|161527512|ref|NC_010085.1|_len650,650,30.1538461538
../../data/5_2k_benchmark/arch_cont.fasta,12_arch_gi|150401930|ref|NC_009637.1|_len656,656,36.4329268293
../../data/5_2k_benchmark/arch_cont.fasta,13_arch_gi|161527512|ref|NC_010085.1|_len727,727,34.9381017882
../../data/5_2k_benchmark/arch_cont.fasta,14_arch_gi|323473489|gb|CP002425.1|_len668,668,36.6766467066
../../data/5_2k_benchmark/arch_cont.fasta,15_arch_gi|161527512|ref|NC_010085.1|_len937,937,37.4599786553
../../data/5_2k_benchmark/arch_cont.fasta,16_arch_gi|161527512|ref|NC_010085.1|_len342,342,36.8421052632
../../data/5_2k_benchmark/arch_cont.fasta,17_arch_gi|323473489|gb|CP002425.1|_len382,382,37.1727748691
../../data/5_2k_benchmark/arch_cont.fasta,18_arch_gi|150401930|ref|NC_009637.1|_len816,816,42.2794117647
../../data/5_2k_benchmark/arch_cont.fasta,19_arch_gi|323473489|gb|CP002425.1|_len716,716,40.0837988827
../../data/5_2k_benchmark/arch_cont.fasta,20_arch_gi|323473489|gb|CP002425.1|_len611,611,41.2438625205
../../data/5_2k_benchmark/arch_cont.fasta,21_arch_gi|323473489|gb|CP002425.1|_len354,354,37.0056497175
../../data/5_2k_benchmark/arch_cont.fasta,22_arch_gi|150401930|ref|NC_009637.1|_len629,629,31.319554849
../../data/5_2k_benchmark/arch_cont.fasta,23_arch_gi|161527512|ref|NC_010085.1|_len178,178,34.2696629213
../../data/5_2k_benchmark/arch_cont.fasta,24_arch_gi|150401930|ref|NC_009637.1|_len690,690,33.3333333333
../../data/5_2k_benchmark/arch_cont.fasta,25_arch_gi|150401930|ref|NC_009637.1|_len686,686,36.5889212828
../../data/5_2k_benchmark/arch_cont.fasta,26_arch_gi|323473489|gb|CP002425.1|_len636,636,37.106918239
../../data/5_2k_benchmark/arch_cont.fasta,27_arch_gi|170289627|ref|NC_010482.1|_len483,483,51.1387163561
../../data/5_2k_benchmark/arch_cont.fasta,28_arch_gi|161527512|ref|NC_010085.1|_len424,424,34.4339622642
../../data/5_2k_benchmark/arch_cont.fasta,29_arch_gi|161527512|ref|NC_010085.1|_len412,412,33.7378640777
../../data/5_2k_benchmark/arch_cont.fasta,30_arch_gi|170289627|ref|NC_010482.1|_len421,421,51.3064133017
../../data/5_2k_benchmark/arch_cont.fasta,31_arch_gi|161527512|ref|NC_010085.1|_len582,582,30.9278350515
../../data/5_2k_benchmark/arch_cont.fasta,32_arch_gi|150401930|ref|NC_009637.1|_len657,657,29.9847792998
../../data/5_2k_benchmark/arch_cont.fasta,33_arch_gi|323473489|gb|CP002425.1|_len436,436,36.4678899083
../../data/5_2k_benchmark/arch_cont.fasta,34_arch_gi|323473489|gb|CP002425.1|_len767,767,36.7666232073
../../data/5_2k_benchmark/arch_cont.fasta,35_arch_gi|150401930|ref|NC_009637.1|_len486,486,35.1851851852
../../data/5_2k_benchmark/arch_cont.fasta,36_arch_gi|170289627|ref|NC_010482.1|_len439,439,51.2528473804
../../data/5_2k_benchmark/arch_cont.fasta,37_arch_gi|170289627|ref|NC_010482.1|_len1041,1041,50.144092219
../../data/5_2k_benchmark/arch_cont.fasta,38_arch_gi|161527512|ref|NC_010085.1|_len782,782,34.0153452685
../../data/5_2k_benchmark/arch_cont.fasta,39_arch_gi|170289627|ref|NC_010482.1|_len548,548,51.4598540146
../../data/5_2k_benchmark/arch_cont.fasta,40_arch_gi|323473489|gb|CP002425.1|_len578,578,35.2941176471
../../data/5_2k_benchmark/arch_cont.fasta,41_arch_gi|170289627|ref|NC_010482.1|_len574,574,50.1742160279
../../data/5_2k_benchmark/arch_cont.fasta,42_arch_gi|170289627|ref|NC_010482.1|_len321,321,46.4174454829
../../data/5_2k_benchmark/arch_cont.fasta,43_arch_gi|323473489|gb|CP002425.1|_len493,493,38.3367139959
../../data/5_2k_benchmark/arch_cont.fasta,44_arch_gi|150401930|ref|NC_009637.1|_len631,631,36.7670364501
../../data/5_2k_benchmark/arch_cont.fasta,45_arch_gi|161527512|ref|NC_010085.1|_len564,564,31.914893617
../../data/5_2k_benchmark/arch_cont.fasta,46_arch_gi|170289627|ref|NC_010482.1|_len587,587,46.6780238501
../../data/5_2k_benchmark/arch_cont.fasta,47_arch_gi|161527512|ref|NC_010085.1|_len524,524,34.3511450382
../../data/5_2k_benchmark/arch_cont.fasta,48_arch_gi|161527512|ref|NC_010085.1|_len709,709,36.5303244006
../../data/5_2k_benchmark/arch_cont.fasta,49_arch_gi|323473489|gb|CP002425.1|_len390,390,40.2564102564
../../data/5_2k_benchmark/arch_cont.fasta,50_arch_gi|161527512|ref|NC_010085.1|_len523,523,30.9751434034
../../data/5_2k_benchmark/arch_cont.fasta,51_arch_gi|323473489|gb|CP002425.1|_len463,463,42.3326133909
