"src","src_gi","src_classLabels","mismatch","kDN","group_sampling_id"
1,"298265646","Bacteroidetes/Chlorobi group",TRUE,42,1
2,"482606444","Bacteroidetes/Chlorobi group",TRUE,37,1
3,"481787231","Bacteroidetes/Chlorobi group",TRUE,34,1
4,"333802964","Bacteroidetes/Chlorobi group",TRUE,35,1
5,"409970109","Bacteroidetes/Chlorobi group",TRUE,49,1
6,"548765819","Bacteroidetes/Chlorobi group",TRUE,30,1
7,"402286141","Bacteroidetes/Chlorobi group",TRUE,35,1
8,"406609481","Bacteroidetes/Chlorobi group",TRUE,31,1
9,"409970109","Bacteroidetes/Chlorobi group",TRUE,47,1
10,"256033965","Bacteroidetes/Chlorobi group",TRUE,37,1
11,"596243332","Bacteroidetes/Chlorobi group",TRUE,37,1
12,"567411363","Bacteroidetes/Chlorobi group",TRUE,71,1
13,"262272130","Bacteroidetes/Chlorobi group",TRUE,43,1
14,"596243332","Bacteroidetes/Chlorobi group",TRUE,34,1
15,"409970138","Bacteroidetes/Chlorobi group",TRUE,40,1
16,"332826416","Bacteroidetes/Chlorobi group",TRUE,39,1
17,"345111121","Bacteroidetes/Chlorobi group",TRUE,71,1
18,"378762838","Bacteroidetes/Chlorobi group",TRUE,34,1
19,"363651152","Bacteroidetes/Chlorobi group",TRUE,32,1
20,"371929676","Bacteroidetes/Chlorobi group",TRUE,45,1
21,"557399978","Bacteroidetes/Chlorobi group",TRUE,48,1
22,"402286141","Bacteroidetes/Chlorobi group",TRUE,41,1
23,"353530021","Bacteroidetes/Chlorobi group",TRUE,65,1
24,"221155168","Bacteroidetes/Chlorobi group",TRUE,24,1
25,"397151014","Bacteroidetes/Chlorobi group",TRUE,42,1
26,"333802964","Bacteroidetes/Chlorobi group",TRUE,41,1
27,"512222286","Bacteroidetes/Chlorobi group",TRUE,43,1
28,"523612819","Bacteroidetes/Chlorobi group",TRUE,33,1
29,"404605294","Bacteroidetes/Chlorobi group",TRUE,47,1
30,"123985823","Bacteroidetes/Chlorobi group",TRUE,52,1
31,"149229006","Bacteroidetes/Chlorobi group",TRUE,32,1
32,"353530021","Bacteroidetes/Chlorobi group",TRUE,65,1
33,"596015071","Bacteroidetes/Chlorobi group",TRUE,49,1
34,"567446271","Bacteroidetes/Chlorobi group",TRUE,71,1
35,"512186318","Bacteroidetes/Chlorobi group",TRUE,34,1
36,"596242720","Bacteroidetes/Chlorobi group",TRUE,35,1
37,"543996427","Bacteroidetes/Chlorobi group",TRUE,41,1
38,"304420054","Bacteroidetes/Chlorobi group",TRUE,33,1
39,"371639131","Bacteroidetes/Chlorobi group",TRUE,37,1
40,"596143439","Bacteroidetes/Chlorobi group",TRUE,43,1
41,"596277697","Bacteroidetes/Chlorobi group",TRUE,31,1
42,"392645227","Bacteroidetes/Chlorobi group",TRUE,43,1
43,"397151108","Bacteroidetes/Chlorobi group",TRUE,65,1
44,"380500974","Bacteroidetes/Chlorobi group",TRUE,49,1
45,"361057412","Bacteroidetes/Chlorobi group",TRUE,34,1
46,"336169322","Bacteroidetes/Chlorobi group",TRUE,35,1
47,"339778839","Bacteroidetes/Chlorobi group",TRUE,43,1
48,"94549078","Bacteroidetes/Chlorobi group",TRUE,47,1
49,"392663186","Bacteroidetes/Chlorobi group",TRUE,25,1
50,"392641235","Bacteroidetes/Chlorobi group",TRUE,39,1
51,"392675411","Bacteroidetes/Chlorobi group",TRUE,47,1
52,"288336737","Bacteroidetes/Chlorobi group",TRUE,37,1
53,"392686218","Bacteroidetes/Chlorobi group",TRUE,44,1
54,"379652114","Bacteroidetes/Chlorobi group",TRUE,37,1
55,"596015071","Bacteroidetes/Chlorobi group",TRUE,41,1
56,"480982151","Bacteroidetes/Chlorobi group",TRUE,49,1
57,"397151177","Bacteroidetes/Chlorobi group",TRUE,35,1
58,"596277697","Bacteroidetes/Chlorobi group",TRUE,43,1
59,"380500974","Bacteroidetes/Chlorobi group",TRUE,50,1
60,"514227161","Bacteroidetes/Chlorobi group",TRUE,35,1
61,"481787386","Bacteroidetes/Chlorobi group",TRUE,46,1
62,"392657843","Bacteroidetes/Chlorobi group",TRUE,23,1
63,"481787231","Bacteroidetes/Chlorobi group",TRUE,37,1
64,"392641235","Bacteroidetes/Chlorobi group",TRUE,27,1
65,"371951624","Bacteroidetes/Chlorobi group",TRUE,35,1
66,"298347180","Bacteroidetes/Chlorobi group",TRUE,38,1
67,"514227161","Bacteroidetes/Chlorobi group",TRUE,38,1
68,"222823013","Bacteroidetes/Chlorobi group",TRUE,26,1
69,"576324977","Bacteroidetes/Chlorobi group",TRUE,43,1
70,"301087310","Bacteroidetes/Chlorobi group",TRUE,31,1
71,"255342900","Bacteroidetes/Chlorobi group",TRUE,46,1
72,"295083795","Bacteroidetes/Chlorobi group",TRUE,29,1
73,"481786909","Bacteroidetes/Chlorobi group",TRUE,34,1
74,"183569348","Bacteroidetes/Chlorobi group",TRUE,31,1
75,"254946573","Bacteroidetes/Chlorobi group",TRUE,54,1
76,"596135277","Bacteroidetes/Chlorobi group",TRUE,26,1
77,"557400098","Bacteroidetes/Chlorobi group",TRUE,45,1
78,"371641826","Bacteroidetes/Chlorobi group",TRUE,38,1
79,"134285787","Bacteroidetes/Chlorobi group",TRUE,27,1
80,"397151430","Bacteroidetes/Chlorobi group",TRUE,42,1
81,"325334929","Bacteroidetes/Chlorobi group",TRUE,47,1
82,"373888308","Bacteroidetes/Chlorobi group",TRUE,42,1
83,"158931584","Bacteroidetes/Chlorobi group",TRUE,56,1
84,"405690382","Bacteroidetes/Chlorobi group",TRUE,49,1
85,"482635022","Bacteroidetes/Chlorobi group",TRUE,54,1
86,"409970138","Bacteroidetes/Chlorobi group",TRUE,47,1
87,"482597374","Bacteroidetes/Chlorobi group",TRUE,39,1
88,"91307191","Bacteroidetes/Chlorobi group",TRUE,37,1
89,"260081498","Bacteroidetes/Chlorobi group",TRUE,40,1
90,"392627080","Bacteroidetes/Chlorobi group",TRUE,30,1
91,"548765819","Bacteroidetes/Chlorobi group",TRUE,36,1
92,"409970122","Bacteroidetes/Chlorobi group",TRUE,37,1
93,"429167528","Bacteroidetes/Chlorobi group",TRUE,44,1
94,"482635022","Bacteroidetes/Chlorobi group",TRUE,41,1
95,"332739738","Bacteroidetes/Chlorobi group",TRUE,43,1
96,"548698599","Bacteroidetes/Chlorobi group",TRUE,31,1
97,"263255040","Bacteroidetes/Chlorobi group",TRUE,27,1
98,"596276451","Bacteroidetes/Chlorobi group",TRUE,43,1
99,"576324977","Bacteroidetes/Chlorobi group",TRUE,40,1
100,"476541468","Bacteroidetes/Chlorobi group",TRUE,37,1
101,"390520502","Bacteroidetes/Chlorobi group",TRUE,43,1
102,"596033356","Bacteroidetes/Chlorobi group",TRUE,41,1
103,"292632311","Bacteroidetes/Chlorobi group",TRUE,29,1
104,"295345759","Bacteroidetes/Chlorobi group",TRUE,35,1
105,"332826416","Bacteroidetes/Chlorobi group",TRUE,38,1
106,"384039792","Bacteroidetes/Chlorobi group",TRUE,51,1
107,"595995160","Bacteroidetes/Chlorobi group",TRUE,29,1
108,"507756166","Bacteroidetes/Chlorobi group",TRUE,44,1
109,"123987859","Bacteroidetes/Chlorobi group",TRUE,38,1
110,"397151093","Bacteroidetes/Chlorobi group",TRUE,32,1
111,"388381829","Bacteroidetes/Chlorobi group",TRUE,33,1
112,"570991028","Bacteroidetes/Chlorobi group",TRUE,50,1
113,"394760488","Bacteroidetes/Chlorobi group",TRUE,43,1
114,"334725715","Bacteroidetes/Chlorobi group",TRUE,45,1
115,"361057412","Bacteroidetes/Chlorobi group",TRUE,34,1
116,"332739738","Bacteroidetes/Chlorobi group",TRUE,40,1
117,"149935098","Bacteroidetes/Chlorobi group",TRUE,46,1
118,"345525904","Bacteroidetes/Chlorobi group",TRUE,47,1
119,"355369533","Bacteroidetes/Chlorobi group",TRUE,45,1
120,"318103442","Bacteroidetes/Chlorobi group",TRUE,34,1
121,"166716328","Bacteroidetes/Chlorobi group",TRUE,30,1
122,"481787386","Bacteroidetes/Chlorobi group",TRUE,48,1
123,"158931584","Bacteroidetes/Chlorobi group",TRUE,61,1
124,"523612819","Bacteroidetes/Chlorobi group",TRUE,38,1
125,"364160866","Bacteroidetes/Chlorobi group",TRUE,57,1
126,"345111121","Bacteroidetes/Chlorobi group",TRUE,69,1
127,"398075143","Bacteroidetes/Chlorobi group",TRUE,43,1
128,"397151014","Bacteroidetes/Chlorobi group",TRUE,27,1
129,"298274869","Bacteroidetes/Chlorobi group",TRUE,39,1
