"src","src_gi","src_classLabels","mismatch","kDN","group_sampling_id"
1,"22164589","Poxviridae",TRUE,32,1
2,"9964314","Poxviridae",TRUE,11,1
3,"9627521","Poxviridae",TRUE,40,1
4,"659488140","Poxviridae",TRUE,15,1
5,"9633809","Poxviridae",TRUE,55,1
6,"18640237","Poxviridae",TRUE,23,1
7,"18640237","Poxviridae",TRUE,9,1
8,"66275797","Poxviridae",TRUE,59,1
9,"41057437","Poxviridae",TRUE,65,1
10,"659488140","Poxviridae",TRUE,14,1
11,"113195177","Poxviridae",TRUE,27,1
12,"9631294","Poxviridae",TRUE,14,1
13,"9964314","Poxviridae",TRUE,12,1
14,"21426071","Poxviridae",TRUE,15,1
15,"9627521","Poxviridae",TRUE,12,1
16,"40555938","Poxviridae",TRUE,27,1
17,"40555938","Poxviridae",TRUE,52,1
18,"9628932","Poxviridae",TRUE,59,1
19,"40555938","Poxviridae",TRUE,21,1
20,"30844336","Poxviridae",TRUE,55,1
21,"9627521","Poxviridae",TRUE,39,1
22,"582973099","Poxviridae",TRUE,11,1
23,"40555938","Poxviridae",TRUE,22,1
24,"9627521","Poxviridae",TRUE,30,1
25,"659488140","Poxviridae",TRUE,23,1
26,"571797926","Poxviridae",TRUE,59,1
27,"9628932","Poxviridae",TRUE,69,1
28,"9631294","Poxviridae",TRUE,13,1
29,"21426071","Poxviridae",TRUE,13,1
30,"18640237","Poxviridae",TRUE,19,1
31,"41057437","Poxviridae",TRUE,65,1
32,"659488383","Poxviridae",TRUE,26,1
33,"659488140","Poxviridae",TRUE,19,1
34,"40555938","Poxviridae",TRUE,26,1
35,"18640237","Poxviridae",TRUE,43,1
36,"113195177","Poxviridae",TRUE,27,1
37,"17974913","Poxviridae",TRUE,21,1
38,"659488383","Poxviridae",TRUE,19,1
39,"345107188","Poxviridae",TRUE,8,1
40,"9627521","Poxviridae",TRUE,19,1
41,"21426071","Poxviridae",TRUE,10,1
42,"17974913","Poxviridae",TRUE,22,1
43,"40555938","Poxviridae",TRUE,43,1
44,"345107188","Poxviridae",TRUE,25,1
45,"9634679","Poxviridae",TRUE,17,1
46,"113195177","Poxviridae",TRUE,18,1
47,"9964314","Poxviridae",TRUE,9,1
48,"9634679","Poxviridae",TRUE,8,1
49,"9628932","Poxviridae",TRUE,64,1
50,"113195177","Poxviridae",TRUE,33,1
51,"659488383","Poxviridae",TRUE,24,1
52,"9964314","Poxviridae",TRUE,11,1
53,"9627521","Poxviridae",TRUE,23,1
54,"9633809","Poxviridae",TRUE,58,1
55,"9631294","Poxviridae",TRUE,33,1
56,"9627521","Poxviridae",TRUE,5,1
57,"659488383","Poxviridae",TRUE,12,1
58,"582973099","Poxviridae",TRUE,11,1
59,"9634679","Poxviridae",TRUE,5,1
60,"659488140","Poxviridae",TRUE,13,1
61,"40555938","Poxviridae",TRUE,28,1
62,"9633809","Poxviridae",TRUE,40,1
63,"157939619","Poxviridae",TRUE,16,1
64,"377829940","Poxviridae",TRUE,31,1
65,"30844336","Poxviridae",TRUE,53,1
