"src","src_gi","src_classLabels","mismatch","kDN","group_sampling_id"
10001,332640072,"euk",TRUE,56,1
10002,213958546,"euk",TRUE,61,1
10003,144580792,"euk",TRUE,53,1
10004,530537136,"euk",TRUE,40,1
10005,255678666,"euk",TRUE,62,1
10006,255675107,"euk",TRUE,54,1
10007,255672756,"euk",TRUE,60,1
10008,255679158,"euk",TRUE,64,1
10009,330250293,"euk",TRUE,42,1
10010,255678666,"euk",TRUE,58,1
10011,255676632,"euk",TRUE,46,1
10012,586919208,"euk",TRUE,47,1
10013,586778913,"euk",TRUE,41,1
10014,332189094,"euk",TRUE,36,1
10015,255678666,"euk",TRUE,55,1
10016,255674134,"euk",TRUE,49,1
10017,302765371,"euk",TRUE,49,1
10018,255675107,"euk",TRUE,39,1
10019,255676632,"euk",TRUE,65,1
10020,351640227,"euk",TRUE,55,1
10021,530537136,"euk",TRUE,45,1
10022,330250293,"euk",TRUE,38,1
10023,255674134,"euk",TRUE,39,1
10024,224465129,"euk",TRUE,39,1
10025,255674134,"euk",TRUE,54,1
10026,255679674,"euk",TRUE,36,1
10027,530537136,"euk",TRUE,46,1
10028,213958551,"euk",TRUE,65,1
10029,255677434,"euk",TRUE,43,1
10030,255677434,"euk",TRUE,37,1
10031,255670529,"euk",TRUE,33,1
10032,530537136,"euk",TRUE,65,1
10033,332002898,"euk",TRUE,55,1
10034,255672756,"euk",TRUE,48,1
10035,332189094,"euk",TRUE,59,1
10036,586919208,"euk",TRUE,62,1
10037,332640072,"euk",TRUE,45,1
10038,332656411,"euk",TRUE,35,1
10039,213958559,"euk",TRUE,60,1
10040,255675107,"euk",TRUE,50,1
10041,255676632,"euk",TRUE,33,1
10042,593497591,"euk",TRUE,35,1
10043,255677434,"euk",TRUE,49,1
10044,332002898,"euk",TRUE,38,1
10045,213958553,"euk",TRUE,53,1
10046,593497591,"euk",TRUE,51,1
10047,593497591,"euk",TRUE,50,1
10048,530537136,"euk",TRUE,65,1
10049,351643494,"euk",TRUE,46,1
10050,530537136,"euk",TRUE,37,1
10051,679811907,"euk",TRUE,65,1
10052,253761954,"euk",TRUE,35,1
10053,255670529,"euk",TRUE,51,1
10054,213958546,"euk",TRUE,45,1
10055,586919208,"euk",TRUE,74,1
10056,586919208,"euk",TRUE,50,1
10057,213958553,"euk",TRUE,48,1
10058,593497591,"euk",TRUE,43,1
10059,300153439,"euk",TRUE,39,1
10060,332002898,"euk",TRUE,37,1
10061,255678666,"euk",TRUE,38,1
10062,255674134,"euk",TRUE,41,1
10063,253761954,"euk",TRUE,52,1
10064,255679158,"euk",TRUE,46,1
10065,332656411,"euk",TRUE,36,1
10066,255674134,"euk",TRUE,35,1
10067,343428739,"euk",TRUE,39,1
10068,253761954,"euk",TRUE,48,1
10069,213958551,"euk",TRUE,54,1
10070,351641698,"euk",TRUE,47,1
10071,255675107,"euk",TRUE,47,1
10072,593497591,"euk",TRUE,42,1
10073,332002898,"euk",TRUE,46,1
10074,253761954,"euk",TRUE,53,1
10075,530537136,"euk",TRUE,53,1
10076,530537136,"euk",TRUE,52,1
10077,255677434,"euk",TRUE,49,1
10078,255679158,"euk",TRUE,48,1
10079,255678666,"euk",TRUE,35,1
10080,253761954,"euk",TRUE,33,1
10081,255670529,"euk",TRUE,48,1
10082,255676632,"euk",TRUE,68,1
10083,255678666,"euk",TRUE,28,1
10084,253761954,"euk",TRUE,41,1
10085,255672756,"euk",TRUE,67,1
10086,330250293,"euk",TRUE,45,1
10087,330250293,"euk",TRUE,36,1
10088,330250293,"euk",TRUE,38,1
10089,255675924,"euk",TRUE,39,1
10090,405120503,"euk",TRUE,46,1
10091,255672756,"euk",TRUE,41,1
10092,332656411,"euk",TRUE,44,1
10093,255675107,"euk",TRUE,55,1
10094,530537136,"euk",TRUE,40,1
10095,255674134,"euk",TRUE,47,1
10096,586919208,"euk",TRUE,52,1
10097,679811907,"euk",TRUE,65,1
10098,332640072,"euk",TRUE,37,1
10099,255679674,"euk",TRUE,42,1
10100,332640072,"euk",TRUE,56,1
10101,330250293,"euk",TRUE,52,1
10102,255670529,"euk",TRUE,46,1
10103,332189094,"euk",TRUE,38,1
10104,253761954,"euk",TRUE,49,1
10105,679811907,"euk",TRUE,65,1
10106,255679158,"euk",TRUE,34,1
10107,255670529,"euk",TRUE,26,1
10108,332189094,"euk",TRUE,33,1
10109,213958554,"euk",TRUE,29,1
10110,332656411,"euk",TRUE,36,1
10111,255672756,"euk",TRUE,41,1
10112,586919208,"euk",TRUE,42,1
10113,213958546,"euk",TRUE,66,1
10114,255679674,"euk",TRUE,48,1
10115,255678666,"euk",TRUE,68,1
10116,351638913,"euk",TRUE,49,1
10117,255672756,"euk",TRUE,42,1
10118,332640072,"euk",TRUE,31,1
10119,332189094,"euk",TRUE,44,1
10120,253761954,"euk",TRUE,52,1
10121,330250293,"euk",TRUE,56,1
10122,255677434,"euk",TRUE,39,1
10123,332640072,"euk",TRUE,59,1
10124,255679674,"euk",TRUE,39,1
10125,255675107,"euk",TRUE,57,1
10126,255675924,"euk",TRUE,35,1
10127,224465128,"euk",TRUE,39,1
10128,255672756,"euk",TRUE,68,1
10129,255679158,"euk",TRUE,52,1
10130,351643494,"euk",TRUE,65,1
10131,255674134,"euk",TRUE,31,1
10132,332002898,"euk",TRUE,35,1
10133,405120503,"euk",TRUE,50,1
10134,330250293,"euk",TRUE,41,1
10135,255670529,"euk",TRUE,64,1
10136,351641698,"euk",TRUE,62,1
10137,213958557,"euk",TRUE,47,1
10138,255675107,"euk",TRUE,42,1
10139,330250293,"euk",TRUE,36,1
10140,255674134,"euk",TRUE,53,1
10141,255672756,"euk",TRUE,53,1
10142,312283788,"euk",TRUE,38,1
10143,586919208,"euk",TRUE,50,1
10144,255675924,"euk",TRUE,27,1
10145,255678087,"euk",TRUE,52,1
10146,255678666,"euk",TRUE,59,1
10147,253761954,"euk",TRUE,49,1
10148,586778913,"euk",TRUE,36,1
10149,586919208,"euk",TRUE,43,1
10150,255670529,"euk",TRUE,52,1
10151,213958555,"euk",TRUE,54,1
10152,255670529,"euk",TRUE,57,1
10153,332656411,"euk",TRUE,53,1
10154,593497591,"euk",TRUE,40,1
10155,586919208,"euk",TRUE,47,1
10156,224465132,"euk",TRUE,56,1
10157,255679674,"euk",TRUE,64,1
10158,332640072,"euk",TRUE,37,1
10159,255674134,"euk",TRUE,29,1
10160,530537136,"euk",TRUE,35,1
10161,255676632,"euk",TRUE,46,1
10162,255669953,"euk",TRUE,49,1
10163,405123455,"euk",TRUE,65,1
10164,255670529,"euk",TRUE,40,1
10165,213958557,"euk",TRUE,59,1
10166,332656411,"euk",TRUE,39,1
10167,330250293,"euk",TRUE,33,1
10168,255670529,"euk",TRUE,31,1
10169,302765371,"euk",TRUE,45,1
10170,530537136,"euk",TRUE,65,1
10171,255672756,"euk",TRUE,35,1
10172,253761954,"euk",TRUE,65,1
10173,255678666,"euk",TRUE,53,1
10174,332002898,"euk",TRUE,56,1
10175,213958551,"euk",TRUE,54,1
10176,255679158,"euk",TRUE,43,1
10177,255669953,"euk",TRUE,50,1
10178,255670529,"euk",TRUE,53,1
10179,255670529,"euk",TRUE,59,1
10180,255679158,"euk",TRUE,38,1
10181,255679674,"euk",TRUE,63,1
10182,332189094,"euk",TRUE,48,1
10183,679811907,"euk",TRUE,48,1
10184,255670529,"euk",TRUE,35,1
10185,255672756,"euk",TRUE,58,1
10186,405120503,"euk",TRUE,60,1
10187,213958559,"euk",TRUE,52,1
10188,213958552,"euk",TRUE,53,1
10189,255674134,"euk",TRUE,38,1
