file;contig;length;GC
full_ncbi_contigs_4k_v2.fa;514836902_archea_sample_0_archea_fa_rev;281;37.3665480427
full_ncbi_contigs_4k_v2.fa;514836902_archea_sample_1_archea_fa_rev;281;38.0782918149
full_ncbi_contigs_4k_v2.fa;514836902_archea_sample_2_archea_fa_rev;281;28.1138790036
full_ncbi_contigs_4k_v2.fa;514836902_archea_sample_3_archea_fa;281;27.4021352313
full_ncbi_contigs_4k_v2.fa;514836902_archea_sample_4_archea_fa;281;35.231316726
full_ncbi_contigs_4k_v2.fa;514836902_archea_sample_5_archea_fa;281;30.9608540925
full_ncbi_contigs_4k_v2.fa;514836902_archea_sample_6_archea_fa_rev;281;38.4341637011
full_ncbi_contigs_4k_v2.fa;514836902_archea_sample_7_archea_fa;281;37.3665480427
full_ncbi_contigs_4k_v2.fa;514836902_archea_sample_8_archea_fa;281;40.9252669039
full_ncbi_contigs_4k_v2.fa;514836902_archea_sample_9_archea_fa;281;43.0604982206
full_ncbi_contigs_4k_v2.fa;514836902_archea_sample_10_archea_fa_rev;281;34.1637010676
full_ncbi_contigs_4k_v2.fa;514836902_archea_sample_11_archea_fa;281;37.0106761566
full_ncbi_contigs_4k_v2.fa;514836902_archea_sample_12_archea_fa_rev;281;39.1459074733
full_ncbi_contigs_4k_v2.fa;514836902_archea_sample_13_archea_fa;281;27.7580071174
full_ncbi_contigs_4k_v2.fa;514836902_archea_sample_14_archea_fa;281;33.8078291815
full_ncbi_contigs_4k_v2.fa;514836902_archea_sample_15_archea_fa_rev;281;33.4519572954
full_ncbi_contigs_4k_v2.fa;514836902_archea_sample_16_archea_fa;281;37.3665480427
full_ncbi_contigs_4k_v2.fa;514836902_archea_sample_17_archea_fa;281;39.5017793594
full_ncbi_contigs_4k_v2.fa;514836902_archea_sample_18_archea_fa;281;35.5871886121
full_ncbi_contigs_4k_v2.fa;514836902_archea_sample_19_archea_fa;281;32.384341637
full_ncbi_contigs_4k_v2.fa;514836902_archea_sample_20_archea_fa_rev;281;32.7402135231
