file;contig;length;GC
/home/macha/Louisa/datasets/archea/116062158.fa;gi|116062158|dbj|BA000002.3| Aeropyrum pernix K1 DNA, complete genome;1669696;56.3112686381
/home/macha/Louisa/datasets/archea/116077928.fa;gi|116077928|emb|AM114193.2| Methanocella arvoryzae MRE50 complete genome;3179916;54.6029517761
/home/macha/Louisa/datasets/archea/116664776.fa;gi|116664776|gb|CP000477.1| Methanosaeta thermophila PT, complete genome;1879471;53.5452794962
/home/macha/Louisa/datasets/archea/119672928.fa;gi|119672928|gb|CP000504.1| Pyrobaculum islandicum DSM 4184, complete genome;1826402;49.5990477452
/home/macha/Louisa/datasets/archea/123977600.fa;gi|123977600|gb|CP000493.1| Hyperthermus butylicus DSM 5456, complete genome;1667163;53.7367371997
/home/macha/Louisa/datasets/archea/124362370.fa;gi|124362370|gb|CP000559.1| Methanocorpusculum labreanum Z, complete genome;1804962;50.0065929366
/home/macha/Louisa/datasets/archea/125860746.fa;gi|125860746|gb|CP000562.1| Methanoculleus marisnigri JR1, complete genome;2478101;62.0628860567
/home/macha/Louisa/datasets/archea/126013736.fa;gi|126013736|gb|CP000575.1| Staphylothermus marinus F1, complete genome;1570485;35.7265430743
/home/macha/Louisa/datasets/archea/126248349.fa;gi|126248349|gb|CP000561.1| Pyrobaculum calidifontis JCM 11548, complete genome;2009313;57.1508271733
/home/macha/Louisa/datasets/archea/145282035.fa;gi|145282035|gb|CP000660.1| Pyrobaculum arsenaticum DSM 13514, complete genome;2121076;55.0508798365
/home/macha/Louisa/datasets/archea/145701035.fa;gi|145701035|gb|CP000682.1| Metallosphaera sedula DSM 5348, complete genome;2191517;46.2253315854
/home/macha/Louisa/datasets/archea/148551077.fa;gi|148551077|gb|CP000678.1| Methanobrevibacter smithii ATCC 35061, complete genome;1853160;31.0342334175
/home/macha/Louisa/datasets/archea/150011463.fa;gi|150011463|gb|CP000742.1| Methanococcus vannielii SB, complete genome;1720048;31.328311768
/home/macha/Louisa/datasets/archea/150013142.fa;gi|150013142|gb|CP000743.1| Methanococcus aeolicus Nankai-3, complete genome;1569500;30.0374641606
/home/macha/Louisa/datasets/archea/150032960.fa;gi|150032960|gb|CP000745.1| Methanococcus maripaludis C7, complete genome;1772694;33.284424723
/home/macha/Louisa/datasets/archea/153998101.fa;gi|153998101|gb|CP000780.1| Candidatus Methanoregula boonei 6A8, complete genome;2542943;54.5136088383
/home/macha/Louisa/datasets/archea/156565779.fa;gi|156565779|gb|CP000816.1| Ignicoccus hospitalis KIN4/I, complete genome;1297538;56.520348537
/home/macha/Louisa/datasets/archea/157919427.fa;gi|157919427|gb|CP000852.1| Caldivirga maquilingensis IC-167, complete genome;2077567;43.0958423964
/home/macha/Louisa/datasets/archea/159885889.fa;gi|159885889|gb|CP000867.1| Methanococcus maripaludis C6, complete genome;1744193;33.4231934195
/home/macha/Louisa/datasets/archea/160338813.fa;gi|160338813|gb|CP000866.1| Nitrosopumilus maritimus SCM1, complete genome;1645259;34.1675079729
/home/macha/Louisa/datasets/archea/170173707.fa;gi|170173707|gb|CP000968.1| Candidatus Korarchaeum cryptofilum OPF8, complete genome;1590757;49.0006958951
