"src","src_gi","src_classLabels","mismatch","kDN","group_sampling_id"
1,"596403476","dsRNA viruses",TRUE,49,1
2,"608309552","dsRNA viruses",TRUE,43,1
3,"78768528","dsRNA viruses",TRUE,47,1
4,"449147288","dsRNA viruses",TRUE,52,1
5,"459284221","dsRNA viruses",TRUE,56,1
6,"20386773","dsRNA viruses",TRUE,47,1
7,"318054194","dsRNA viruses",TRUE,48,1
8,"352950884","dsRNA viruses",TRUE,36,1
9,"590428243","dsRNA viruses",TRUE,42,1
10,"23238149","dsRNA viruses",TRUE,43,1
11,"304373826","dsRNA viruses",TRUE,58,1
12,"134141995","dsRNA viruses",TRUE,63,1
13,"255987648","dsRNA viruses",TRUE,41,1
14,"20177452","dsRNA viruses",TRUE,37,1
15,"555928251","dsRNA viruses",TRUE,57,1
16,"78768528","dsRNA viruses",TRUE,48,1
17,"550455624","dsRNA viruses",TRUE,39,1
18,"608309552","dsRNA viruses",TRUE,53,1
19,"120407012","dsRNA viruses",TRUE,38,1
20,"62401661","dsRNA viruses",TRUE,57,1
21,"14993614","dsRNA viruses",TRUE,42,1
22,"20177452","dsRNA viruses",TRUE,41,1
23,"226423341","dsRNA viruses",TRUE,43,1
24,"17736965","dsRNA viruses",TRUE,61,1
25,"120407012","dsRNA viruses",TRUE,40,1
26,"23238159","dsRNA viruses",TRUE,36,1
27,"50261332","dsRNA viruses",TRUE,39,1
28,"20428557","dsRNA viruses",TRUE,46,1
29,"71658856","dsRNA viruses",TRUE,54,1
30,"109240500","dsRNA viruses",TRUE,45,1
31,"353072697","dsRNA viruses",TRUE,46,1
32,"157939583","dsRNA viruses",TRUE,57,1
33,"226423331","dsRNA viruses",TRUE,42,1
34,"304373830","dsRNA viruses",TRUE,62,1
35,"23238151","dsRNA viruses",TRUE,40,1
36,"23238151","dsRNA viruses",TRUE,42,1
37,"590428243","dsRNA viruses",TRUE,44,1
38,"459680256","dsRNA viruses",TRUE,48,1
39,"187765483","dsRNA viruses",TRUE,38,1
40,"20428567","dsRNA viruses",TRUE,50,1
41,"318054194","dsRNA viruses",TRUE,39,1
42,"226423341","dsRNA viruses",TRUE,46,1
43,"17736952","dsRNA viruses",TRUE,64,1
44,"85813349","dsRNA viruses",TRUE,42,1
45,"167851792","dsRNA viruses",TRUE,59,1
46,"187765483","dsRNA viruses",TRUE,36,1
47,"134141995","dsRNA viruses",TRUE,60,1
48,"590428243","dsRNA viruses",TRUE,42,1
49,"226423331","dsRNA viruses",TRUE,41,1
50,"120407012","dsRNA viruses",TRUE,44,1
51,"189022228","dsRNA viruses",TRUE,41,1
52,"78767039","dsRNA viruses",TRUE,42,1
53,"551682524","dsRNA viruses",TRUE,48,1
54,"23238135","dsRNA viruses",TRUE,40,1
55,"23238149","dsRNA viruses",TRUE,39,1
56,"157939583","dsRNA viruses",TRUE,46,1
57,"50261332","dsRNA viruses",TRUE,41,1
58,"667699610","dsRNA viruses",TRUE,43,1
59,"187765483","dsRNA viruses",TRUE,43,1
60,"20428567","dsRNA viruses",TRUE,50,1
61,"449147288","dsRNA viruses",TRUE,47,1
62,"109240500","dsRNA viruses",TRUE,54,1
63,"332672294","ssDNA viruses",TRUE,52,1
64,"122809020","ssDNA viruses",TRUE,49,1
65,"226596529","ssDNA viruses",TRUE,55,1
66,"41057577","ssDNA viruses",TRUE,58,1
67,"295441891","ssDNA viruses",TRUE,56,1
68,"9632368","ssDNA viruses",TRUE,50,1
69,"196049395","ssDNA viruses",TRUE,52,1
70,"51949968","ssDNA viruses",TRUE,54,1
71,"470457071","ssDNA viruses",TRUE,52,1
72,"215480028","ssDNA viruses",TRUE,60,1
73,"526178379","ssDNA viruses",TRUE,56,1
74,"239740606","ssDNA viruses",TRUE,49,1
75,"42794082","ssDNA viruses",TRUE,55,1
76,"149980608","ssDNA viruses",TRUE,50,1
77,"208429851","ssDNA viruses",TRUE,57,1
78,"403516098","ssDNA viruses",TRUE,57,1
79,"565648325","ssDNA viruses",TRUE,57,1
80,"20564204","ssDNA viruses",TRUE,52,1
81,"557307519","ssDNA viruses",TRUE,57,1
82,"176120944","ssDNA viruses",TRUE,52,1
83,"46393313","ssDNA viruses",TRUE,52,1
84,"9626986","ssDNA viruses",TRUE,57,1
85,"526177323","ssDNA viruses",TRUE,58,1
86,"29337258","ssDNA viruses",TRUE,52,1
87,"30039743","ssDNA viruses",TRUE,54,1
88,"400354950","ssDNA viruses",TRUE,53,1
89,"403516098","ssDNA viruses",TRUE,51,1
90,"9626670","ssDNA viruses",TRUE,57,1
91,"29501756","ssDNA viruses",TRUE,56,1
92,"41057577","ssDNA viruses",TRUE,51,1
93,"9626993","ssDNA viruses",TRUE,55,1
94,"29337246","ssDNA viruses",TRUE,58,1
95,"408905857","ssDNA viruses",TRUE,54,1
96,"9627190","ssDNA viruses",TRUE,57,1
97,"295413977","ssDNA viruses",TRUE,55,1
98,"30039743","ssDNA viruses",TRUE,56,1
99,"9632377","ssDNA viruses",TRUE,52,1
100,"400354851","ssDNA viruses",TRUE,52,1
101,"9630761","ssDNA viruses",TRUE,54,1
102,"295441873","ssDNA viruses",TRUE,55,1
103,"408905857","ssDNA viruses",TRUE,53,1
104,"19718349","ssDNA viruses",TRUE,55,1
105,"449147302","ssDNA viruses",TRUE,56,1
106,"325961446","ssDNA viruses",TRUE,55,1
107,"9630761","ssDNA viruses",TRUE,53,1
108,"9626316","ssDNA viruses",TRUE,49,1
109,"526120121","ssDNA viruses",TRUE,55,1
110,"363542401","ssDNA viruses",TRUE,57,1
111,"470457071","ssDNA viruses",TRUE,56,1
112,"9626986","ssDNA viruses",TRUE,57,1
113,"72537515","ssDNA viruses",TRUE,55,1
114,"226596529","ssDNA viruses",TRUE,53,1
115,"295441891","ssDNA viruses",TRUE,54,1
116,"557940284","ssDNA viruses",TRUE,54,1
117,"9626993","ssDNA viruses",TRUE,56,1
118,"526178379","ssDNA viruses",TRUE,59,1
119,"51949968","ssDNA viruses",TRUE,54,1
120,"89888607","ssDNA viruses",TRUE,51,1
121,"29337258","ssDNA viruses",TRUE,56,1
122,"295441908","ssDNA viruses",TRUE,53,1
123,"400354950","ssDNA viruses",TRUE,50,1
124,"498907897","ssDNA viruses",TRUE,50,1
125,"594139947","ssRNA viruses",TRUE,46,1
126,"594139800","ssRNA viruses",TRUE,47,1
127,"379765069","ssRNA viruses",TRUE,46,1
